Categoria,NombreProducto,Precio,Stock,ImagenURL
Ordenadores,PcCom Ready AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060,1269.00,10,https://thumb.pccomponentes.com/w-530-530/articles/1088/10880192/166-pccom-ready-amd-ryzen-7-5800x-32gb-1tb-ssd-rtx-5060.jpg
Tarjetas Graficas,Tarjeta Grafica Palit GeForce RTX 5060 Ti Infinity 3 16GB GDDR7 Reflex 2 RTX AI DLSS4,499.00,8,https://thumb.pccomponentes.com/w-530-530/articles/1087/10877296/1851-palit-geforce-rtx-5060-ti-infinity-3-16gb-gddr7-reflex-2-rtx-ai-dlss4-caracteristicas.jpg
Televisores,Samsung QLED TQ65Q7F5AU 65 4K UltraHD Smart TV Tizen HDR10 Q-Symphony,499.00,5,https://thumb.pccomponentes.com/w-530-530/articles/1089/10891965/1257-samsung-qled-tq65q7f5au-65-4k-ultrahd-smart-tv-tizen-hdr10-q-symphony-mejor-precio.jpg
Hogar,Dreame L40 Ultra Robot Aspirador y Friegasuelos con Vaciado Automatico Blanco/Dorado,469.00,7,https://thumb.pccomponentes.com/w-530-530/articles/1085/10854442/1507-dreame-l40-ultra-robot-aspirador-y-friegasuelos-con-vaciado-automatico-blanco-dorado.jpg
Memoria RAM,Memoria RAM Forgeon Cyclone PLUS V2 DDR4 3200 MHz 32GB 2x16GB CL16 Negra,259.95,15,https://thumb.pccomponentes.com/w-530-530/articles/1093/10931674/1348-forgeon-cyclone-plus-v2-ddr4-3200-mhz-32gb-2x16gb-cl16-negra.jpg
Auriculares,Newskill Aton V2 Black Auriculares Gaming Inalambricos RGB Bluetooth 5.0 Multiplataforma Negros,95.00,12,https://thumb.pccomponentes.com/w-530-530/articles/1091/10916731/138-newskill-aton-v2-auriculares-gaming-inalambricos-rgb-bluetooth-50-multiplataforma-negros.jpg
Monitores,Monitor AOC C24G42E 23.6 Fast VA FullHD 180Hz HDR10 Altavoces Adaptive Sync Curvo,79.99,15,https://thumb.pccomponentes.com/w-530-530/articles/1088/10886380/1290-aoc-c24g42e-236-fast-va-fullhd-180hz-hdr10-altavoces-adaptive-sync-curvo.jpg
Portatiles,Portatil Samsung Galaxy Book4 15 Intel Core i5-1335U/16GB/512GB SSD/15.6,579.00,10,https://thumb.pccomponentes.com/w-530-530/articles/1085/10853377/2164-samsung-galaxy-book4-15-intel-core-i5-1335u-16gb-512gb-ssd-156-microsoft-365-12-3-meses-digital-554a86da-50b5-4a77-adce-54c49fedbc91.jpg
